OID_	base_bbl	bin	cnstrct_yr	doitt_id	feat_code	geomsource	globalid	groundelev	heightroof	date_lstmo	time_lstmo	lststatype	mpluto_bbl	name	shape_area	shape_len	bin_c	AREA	MEAN	USR_MWh	ElcPrd_MWh
6430	1018940011	1057320	1908	757537	2100	Photogramm	{D319DCE0-2FD3-4F77-86A3-7BB3F7561D6B}	108	147.99	1/28/2020 0:00	00:00.0	Constructed	1018940011	 	12586.61039	0	1057320	8100	1086.209493	817.3893192	112.4727703
6433	1012580009	1034196	1971	53917	2100	Photogramm	{267C8FF8-EE6F-4037-BA57-BF926CC75C8A}	66	626.74	8/22/2017 0:00	00:00.0	Constructed	1012580009	 	42354.0095	0	1034196	6300	949.738817	555.8723648	76.48803739
6438	1010350029	1024991	1928	526865	2100	Photogramm	{9B58F20F-BBC2-4382-AA88-997BD1CCDF1D}	41	66.93	8/22/2017 0:00	00:00.0	Constructed	1010350029	 	9735.488805	0	1024991	1400	820.0742711	106.6624532	14.67675355
6441	1021420161	1063504	1924	323497	2100	Photogramm	{50365B3C-7551-4F17-9B21-FDB8A314D7FD}	192	66.02900211	8/22/2017 0:00	00:00.0	Constructed	1021420161	 	13685.54911	0	1063504	10000	1148.502351	1066.994631	146.8184613
6442	1014500043	1045154	1930	680194	2100	Photogramm	{2A00B8F1-9E84-41F2-B4E9-3B3778DDD2CE}	37	65.46111739	8/22/2017 0:00	00:00.0	Constructed	1014500043	 	11538.7471	0	1045154	8800	973.8900722	796.2014359	109.5573176
6446	1021700307	1064087	1925	249587	2100	Photogramm	{0C2E2140-48F7-4BD7-8F26-50D62BF3C9A9}	184	67.57	8/22/2017 0:00	00:00.0	Constructed	1021700307	 	12987.74771	0	1064087	10600	1117.450549	1100.435328	151.4199011
6448	1018900015	1057181	1925	258991	2100	Photogramm	{1C78E403-73FF-40B7-BC36-5B4E6DEF970C}	107	162.59	8/22/2017 0:00	00:00.0	Constructed	1018900015	 	9061.120685	0	1057181	5400	1072.770612	538.1842365	74.05415095
6449	1012890036	1035732	1952	749412	2100	Photogramm	{A094217D-DA35-4E6F-9F04-6418A5AEB666}	53	269.43	8/22/2017 0:00	00:00.0	Constructed	1012890036	 	30685.40741	0	1035732	2100	921.4151728	179.7649423	24.73565607
6450	1020350001	1084146	1928	138301	2100	Photogramm	{A910EE62-16FF-4CB8-9AC2-EA43E749C90D}	22	58.92	8/22/2017 0:00	00:00.0	Constructed	1020350001	 	11088.29988	0	1084146	8600	1103.598807	881.7389364	121.3272776
6454	1021110024	1062636	1930	513192	2100	Photogramm	{A45F1778-11A5-4CD4-AA75-4B7D38900622}	156	73.03613341	8/22/2017 0:00	00:00.0	Constructed	1021110024	 	22888.71205	0	1062636	19900	1159.510958	2143.671724	294.9692293
6467	1009620001	1022053	1960	538855	2100	Photogramm	{470656EF-2EC2-42A1-AD1C-E258C76A3BC1}	22	126.43	8/22/2017 0:00	00:00.0	Constructed	1009620001	 	13364.72006	0	1022053	7800	1003.481923	727.1675691	100.0582575
6469	1019550026	1084066	1980	176571	2100	Photogramm	{C537C03C-24D2-407D-A254-C16A1D74EBBB}	34	95.82891392	2/12/2018 0:00	00:00.0	Constructed	1019550026	 	13240.99511	0	1084066	11500	1113.2756	1189.408059	163.6625489
6470	1007830070	1014387	1972	205265	2100	Photogramm	{F4B2773D-74F7-45C3-A653-887AB2A115AF}	36	728.51137	8/22/2017 0:00	00:00.0	Constructed	1007830070	One Penn Plaza	67502.42476	0	1014387	21700	931.5174037	1877.937147	258.4041515
6494	1020760041	1061917	1972	220263	2100	Photogramm	{B1C70E7D-4109-4054-B86D-24BF2B426081}	124	24.33	8/22/2017 0:00	00:00.0	Constructed	1020760041	 	8847.834158	0	1061917	8100	1123.918988	845.7662928	116.3774419
6495	1018720037	1056484	1927	398661	2100	Photogramm	{98E9BF28-0B08-48C4-91D2-B5C39EC1241D}	92	61.9	8/22/2017 0:00	00:00.0	Constructed	1018720037	 	8493.625445	0	1056484	4300	862.0566917	344.3773887	47.38632869
6496	1021310044	1063170	1911	27975	2100	Photogramm	{2AD9B1B2-AAA3-4E76-968C-4B27DD9D26A7}	170	70.24908162	8/22/2017 0:00	00:00.0	Constructed	1021310044	 	10607.15501	0	1063170	8700	1114.450171	900.7624088	123.9449074
6500	1020020033	1059958	1906	699366	2100	Photogramm	{76B0CA11-3096-4931-AED4-883789833C97}	81	69.85	8/22/2017 0:00	00:00.0	Constructed	1020020033	 	9310.151509	0	1059958	7600	1110.988904	784.4290329	107.9374349
6503	1021010120	1062477	1970	1159182	2100	Photogramm	{2A4FB773-1285-4B32-B784-2C10E24ABF8F}	3	63.31634992	1/1/2012 0:00	00:00.0	Constructed	1021010120	 	28074.89982	0	1062477	22900	1139.501884	2424.269376	333.5794661
6514	1012670041	1034517	1977	440622	2100	Photogramm	{0E3EF50A-9A62-47B3-8BCC-54A73B668403}	70	497.54	8/22/2017 0:00	00:00.0	Constructed	1012670041	Pahlavi Foundation Building	13688.83266	0	1034517	2200	1001.262157	204.6448542	28.15913193
6515	1010160005	1024712	1927	546349	2100	Photogramm	{8C5B46F2-A955-46DA-ABB3-D83A0A4E93BF}	43	74.24507809	8/22/2017 0:00	00:00.0	Constructed	1010160005	Majestic Theatre	12084.68236	0	1024712	5300	885.1383725	435.8302636	59.97024427
