OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,USR_MWh,ElcPrd_MWh
14130,2023480053,2001077.000000000000000,1930.000000000000000,571239.000000000000000,2100.000000000000000,Photogramm,{14351EBF-81CC-4420-B14A-F107226D300E},44.000000000000000,74.549999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,2023480053, ,17511.578789099999995,0.000000000000000,2001077,7300.000000000000000,1157.470028389999925,784.987895395000010,108.014334406000003
14136,2037370042,2023763.000000000000000,1942.000000000000000,329466.000000000000000,2100.000000000000000,Photogramm,{5010822C-E4DA-43CE-ABDE-57C20A6E0303},18.000000000000000,14.570000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,2037370042, ,9964.195336189999580,0.000000000000000,2023763,9300.000000000000000,1140.546174079999901,985.430877185999975,135.595288700999987
14139,2026650001,2091988.000000000000000,1964.000000000000000,344750.000000000000000,2100.000000000000000,Photogramm,{5B500868-85B6-486E-A18C-2BC399C3E22E},46.000000000000000,233.972470200000004,8/22/2017 0:00:00,00:00:00.000,Constructed,2026650001, ,8190.009689679999610,0.000000000000000,2091988,1000.000000000000000,1080.253253170000107,100.358908310999993,13.809385783600000
14142,2031360001,2101907.000000000000000,1973.000000000000000,533769.000000000000000,2100.000000000000000,Photogramm,{85614BCF-2212-40C7-8DE0-44F3D56A7742},30.000000000000000,198.512991940000006,8/22/2017 0:00:00,00:00:00.000,Constructed,2031360001, ,19685.843473600001744,0.000000000000000,2101907,7200.000000000000000,1099.874059040000020,735.708546631999980,101.233496016999993
14143,2033280171,2017831.000000000000000,1962.000000000000000,448018.000000000000000,2100.000000000000000,Photogramm,{8818BFEB-F0BC-4070-A6F0-064EBD5C015A},180.000000000000000,63.280000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,2033280171, ,16447.288777599998866,0.000000000000000,2017831,7300.000000000000000,1130.007362679999915,766.362911915000041,105.451536680000004
14151,2045040411,2101286.000000000000000,1997.000000000000000,946084.000000000000000,2100.000000000000000,Photogramm,{E758AF44-3C82-4610-929E-46A535976CA9},16.000000000000000,22.989999999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,2045040411, ,14652.705383799999254,0.000000000000000,2101286,12500.000000000000000,1183.668147460000000,1374.580945870000050,189.142338152000008
14159,2048450011,2093697.000000000000000,1957.000000000000000,217921.000000000000000,2100.000000000000000,Photogramm,{F2F433D1-A8A0-4947-87FD-B4C50EF7FE00},201.000000000000000,65.388361200000006,8/22/2017 0:00:00,00:00:00.000,Constructed,2048450011, ,16115.232232700000168,0.000000000000000,2093697,7300.000000000000000,1161.456757850000031,787.691666802999976,108.386373352000007
14161,2049050001,2094152.000000000000000,1951.000000000000000,632074.000000000000000,2100.000000000000000,Photogramm,{943EC222-C9C9-4B7D-B64A-60A034BCF885},116.000000000000000,124.150000000000006,8/22/2017 0:00:00,00:00:00.000,Constructed,2049050001, ,8818.247005709999939,0.000000000000000,2094152,1700.000000000000000,1166.923268040000039,184.298400735000001,25.359459941099999
14162,2024240086,2002046.000000000000000,1911.000000000000000,45138.000000000000000,2100.000000000000000,Photogramm,{4F56FB24-590A-48A5-8ADC-BC7D5E2CC2F9},34.000000000000000,61.259999999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,2024240086, ,10095.588115500000640,0.000000000000000,2002046,4500.000000000000000,1179.432082790000095,493.078194015000008,67.847559496499997
14163,2026540001,2004684.000000000000000,1966.000000000000000,751333.000000000000000,2100.000000000000000,Photogramm,{D2961AEF-F9B7-4F33-ABE9-F6F94A41F115},37.000000000000000,57.855832210000003,8/22/2017 0:00:00,00:00:00.000,Constructed,2026540001, ,28557.664849199998571,0.000000000000000,2004684,13200.000000000000000,1103.202384720000055,1352.880598879999980,186.156370406000008
