OID_,base_bbl,bin,cnstrct_yr,doitt_id,feat_code,geomsource,globalid,groundelev,heightroof,date_lstmo,time_lstmo,lststatype,mpluto_bbl,name,shape_area,shape_len,bin_c,AREA,MEAN,Us_SR_MWh,ElcPrd_MWh
6427,5010530138,5110056.000000000000000,1957.000000000000000,196075.000000000000000,2100.000000000000000,Photogramm,{CBCC7EEA-5B05-4719-B45B-36EEFAD58176},29.000000000000000,28.247090900000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5010530138, ,22862.270118500000535,0.000000000000000,5110056,21500.000000000000000,1141.240535010000031,2280,313.728000000000009
6429,5003200002,5008749.000000000000000,1953.000000000000000,245180.000000000000000,2100.000000000000000,Photogramm,{030D063C-41E1-471C-A7C6-7BB50E3AB3C5},111.000000000000000,46.939999999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,5003200002, ,12045.366933600000266,0.000000000000000,5008749,7100.000000000000000,1090.294921019999947,719,98.934399999999997
6478,5000490182,5001150.000000000000000,1965.000000000000000,741921.000000000000000,2100.000000000000000,Photogramm,{15027F43-B416-4FDF-B251-B8BED6DD29B8},92.000000000000000,34.210000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5000490182, ,30174.212330499998643,0.000000000000000,5001150,24600.000000000000000,1173.250363480000033,2681,368.905599999999993
6504,5040430115,5055987.000000000000000,2003.000000000000000,1000207.000000000000000,2100.000000000000000,Photogramm,{71B396A7-D075-4603-B133-F20329C369DF},12.000000000000000,34.600000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5040430115, ,9939.572153589999289,0.000000000000000,5055987,6900.000000000000000,1151.979083519999904,738,101.548800000000000
6548,5005430017,5106870.000000000000000,1927.000000000000000,843177.000000000000000,2100.000000000000000,Photogramm,{761A867C-56D0-428B-A7E8-9868FA4D0071},37.000000000000000,47.430000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5005430017, ,8263.459728850000829,0.000000000000000,5106870,4200.000000000000000,1177.915774390000024,460,63.295999999999999
6592,5005030032,5013302.000000000000000,1975.000000000000000,207398.000000000000000,2100.000000000000000,Photogramm,{665A20D8-4532-4B3D-9DCC-07166DEB0EE8},14.000000000000000,17.510000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5005030032, ,12396.004134400000112,0.000000000000000,5013302,11900.000000000000000,1181.836305249999896,1307,179.843199999999996
6613,5059000020,5127870.000000000000000,1981.000000000000000,492087.000000000000000,2100.000000000000000,Photogramm,{94D36035-7BA9-43A9-A0D8-A0981CFC1976},21.000000000000000,15.029999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5059000020, ,16556.038149600000907,0.000000000000000,5127870,16300.000000000000000,1182.918418089999932,1791,246.441599999999994
6633,5020400400,5157284.000000000000000,1992.000000000000000,166211.000000000000000,2100.000000000000000,Photogramm,{ADAABEF2-808A-4E2B-AC47-CD8617922086},106.000000000000000,34.337200570000000,11/16/2016 0:00:00,00:00:00.000,Constructed,5020400400, ,21418.268786399999954,0.000000000000000,5157284,13400.000000000000000,1136.137227530000018,1414,194.566399999999987
6666,5017080047,5033712.000000000000000,1986.000000000000000,563359.000000000000000,2100.000000000000000,Photogramm,{843B6B1C-1E34-4159-A327-C4527FD6EE60},19.000000000000000,22.079999999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,5017080047, ,8432.929947509999693,0.000000000000000,5033712,7000.000000000000000,1172.921756420000065,763,104.988799999999998
6673,5024521100,5121201.000000000000000,1987.000000000000000,610404.000000000000000,2100.000000000000000,Other (Man,{9E5101D1-1002-4006-A110-CBDE95D966A9},103.000000000000000,37.000000000000000,1/24/2019 0:00:00,00:00:00.000,Constructed,5024527501, ,15796.956085399999210,0.000000000000000,5121201,13000.000000000000000,1168.152956449999920,1411,194.153600000000012
6685,5000070086,5000073.000000000000000,1922.000000000000000,277754.000000000000000,2100.000000000000000,Photogramm,{50403951-175B-433E-8FD9-2F93D83A214C},45.000000000000000,44.729999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,5000070086, ,9240.092654250000123,0.000000000000000,5000073,4300.000000000000000,1094.671535760000097,437,60.131200000000000
6782,5012080004,5157635.000000000000000,1931.000000000000000,1109789.000000000000000,2100.000000000000000,Other (Man,{41BBB7F8-0CF9-4EC8-BF09-F855542B9BAF},7.000000000000000,61.000000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5012080004, ,21407.413903299999220,0.000000000000000,5157635,10600.000000000000000,1214.409901739999896,1196,164.569600000000008
6814,5001850527,5159657.000000000000000,2008.000000000000000,1219488.000000000000000,2100.000000000000000,Photogramm,{90FDD739-A7FD-4A1E-B0EE-6CEAD33FAA82},9.000000000000000,31.879577670000000,9/20/2013 0:00:00,00:00:00.000,Constructed,5001850527, ,34742.609558800002560,0.000000000000000,5159657,29100.000000000000000,1184.377884589999894,3202,440.595199999999977
6830,5061660072,5150124.000000000000000,1996.000000000000000,837126.000000000000000,2100.000000000000000,Photogramm,{BC76EA36-C93F-458B-A3FF-CED5A2F26F9C},31.000000000000000,22.620000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5061660072, ,10582.117221500000596,0.000000000000000,5150124,8600.000000000000000,1180.757931730000109,943,129.756799999999998
6844,5072060135,5151687.000000000000000,1996.000000000000000,725720.000000000000000,2100.000000000000000,Photogramm,{030D6DD6-7CEC-4BFF-B93D-3FAA37FA6943},30.000000000000000,33.619999999999997,8/22/2017 0:00:00,00:00:00.000,Constructed,5072060135, ,10775.265835500000321,0.000000000000000,5151687,9200.000000000000000,1172.178488689999995,1002,137.875200000000007
6856,5008730027,5154776.000000000000000,1967.000000000000000,687130.000000000000000,2100.000000000000000,Photogramm,{599193B0-B2FA-4B75-AA55-27FA78280E87},271.000000000000000,27.949999999999999,11/18/2016 0:00:00,00:00:00.000,Constructed,5008730027, ,13574.885914799999227,0.000000000000000,5154776,10500.000000000000000,1167.599776199999951,1139,156.726400000000012
6880,5023800600,5146581.000000000000000,2000.000000000000000,81369.000000000000000,2100.000000000000000,Photogramm,{F7FB5E4A-FB25-4984-8365-2351283A3F5A},24.000000000000000,28.820000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5023800600, ,11823.160681699999259,0.000000000000000,5146581,9500.000000000000000,1177.371349459999919,1039,142.966399999999993
6921,5010350019,5116747.000000000000000,1994.000000000000000,85647.000000000000000,2100.000000000000000,Photogramm,{B3D5E9BC-AF12-4F2F-BAE8-0BBC98D41541},43.000000000000000,56.500680690000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5010350019, ,9576.114640199999485,0.000000000000000,5116747,5200.000000000000000,1171.161585880000075,566,77.881600000000006
7007,5020400001,5107301.000000000000000,1993.000000000000000,176358.000000000000000,2100.000000000000000,Photogramm,{FF68ED01-2268-464B-8B92-ED5467922295},111.000000000000000,41.700000000000003,8/22/2017 0:00:00,00:00:00.000,Constructed,5020400001,Library,40241.323520999998436,0.000000000000000,5107301,29700.000000000000000,1165.930268459999979,3217,442.659199999999998
7008,5030030082,5044328.000000000000000,1964.000000000000000,609921.000000000000000,2100.000000000000000,Photogramm,{8EA28C06-ED58-4DFE-8BCC-FF92CE44DBB4},113.000000000000000,47.140000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5030030082, ,13649.099942900000315,0.000000000000000,5044328,7000.000000000000000,1157.514106970000057,753,103.612799999999993
7021,5015800044,5031151.000000000000000,1974.000000000000000,611646.000000000000000,2100.000000000000000,Photogramm,{F47877D2-A29D-4C73-B650-A37C22C46A25},37.000000000000000,29.289999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5015800044, ,54510.619656499999110,0.000000000000000,5031151,44800.000000000000000,1181.904996600000004,4919,676.854400000000055
7030,5000130008,5116656.000000000000000,1976.000000000000000,746370.000000000000000,2100.000000000000000,Photogramm,{57C64D2A-C1C3-4DBB-A57F-1145518240D3},106.000000000000000,192.099999999999994,8/22/2017 0:00:00,00:00:00.000,Constructed,5000130008, ,13073.410754299999098,0.000000000000000,5116656,4700.000000000000000,1180.888262810000015,516,71.001599999999996
7070,5011980001,5027307.000000000000000,1998.000000000000000,917948.000000000000000,2100.000000000000000,Photogramm,{F0F0B52D-2F35-455B-80A1-936CDC883FB3},29.000000000000000,23.820000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5011980001, ,17379.208348899999692,0.000000000000000,5027307,15000.000000000000000,1185.197492680000096,1652,227.315200000000004
7073,5029220020,5112730.000000000000000,2002.000000000000000,952122.000000000000000,2100.000000000000000,Photogramm,{5D2FFF58-8287-484A-BCC6-96E161E16F10},81.000000000000000,26.910000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5029220020, ,84305.327516899997136,0.000000000000000,5112730,78400.000000000000000,1185.919669330000033,8638,1188.588799999999992
7209,5080140029,5150641.000000000000000,2004.000000000000000,988023.000000000000000,2100.000000000000000,Photogramm,{B746C5B2-C1C8-48ED-A611-9E512F23C686},12.000000000000000,26.155331530000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5080140029, ,12770.281755800000610,0.000000000000000,5150641,10300.000000000000000,1193.087514929999998,1142,157.139199999999988
7216,5077020001,5110511.000000000000000,1993.000000000000000,32204.000000000000000,2100.000000000000000,Photogramm,{82AF595B-8B0B-4D91-94ED-47E5AA490B3A},29.000000000000000,15.820000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5077020001, ,12751.245628299999225,0.000000000000000,5110511,10700.000000000000000,1152.323761840000088,1145,157.551999999999992
7235,5076260010,5087235.000000000000000,1983.000000000000000,245588.000000000000000,2100.000000000000000,Photogramm,{15398A15-7A8F-46B2-8758-6A47B4EFCB22},26.000000000000000,27.569803470000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5076260010, ,12401.164900100000523,0.000000000000000,5087235,10900.000000000000000,1169.617768730000080,1184,162.918399999999991
7255,5000180099,5000305.000000000000000,1963.000000000000000,336076.000000000000000,2100.000000000000000,Photogramm,{E71394F6-B2FC-4343-8D44-01FDFD666FFA},124.000000000000000,71.189999999999998,8/22/2017 0:00:00,00:00:00.000,Constructed,5000180099, ,25314.146073500000057,0.000000000000000,5000305,13500.000000000000000,1130.585210499999903,1418,195.116800000000012
7257,5033690034,5049844.000000000000000,1985.000000000000000,99500.000000000000000,2100.000000000000000,Photogramm,{BBABC2E9-E3D3-4E49-AB1B-A40073D59642},18.000000000000000,21.510000000000002,8/22/2017 0:00:00,00:00:00.000,Constructed,5033690034, ,18406.314412799998536,0.000000000000000,5049844,17500.000000000000000,1184.108303570000089,1925,264.879999999999995
7272,5034720014,5093263.000000000000000,1987.000000000000000,397698.000000000000000,2100.000000000000000,Photogramm,{AC21F88F-5D26-4D8A-A7EB-91EAB589952F},8.000000000000000,20.309999999999999,8/22/2017 0:00:00,00:00:00.000,Constructed,5034720014, ,19888.122321599999850,0.000000000000000,5093263,19500.000000000000000,1186.768221340000082,2150,295.839999999999975
7286,5071870001,5155022.000000000000000,1971.000000000000000,789849.000000000000000,2100.000000000000000,Photogramm,{B8918FDB-39A0-4D90-A8D3-63C15FA4B0DC},30.000000000000000,19.850000000000001,6/24/2014 0:00:00,00:00:00.000,Constructed,5071870001, ,18119.170439500001521,0.000000000000000,5155022,17100.000000000000000,1171.957294659999889,1862,256.211200000000019
7342,5002120040,5005669.000000000000000,1931.000000000000000,455180.000000000000000,2100.000000000000000,Photogramm,{850810BD-902D-4C3A-8FAD-A43A803C9E36},32.000000000000000,21.390000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5002120040, ,12394.717543700000533,0.000000000000000,5005669,10700.000000000000000,1196.234640820000095,1189,163.606400000000008
7360,5003560500,5009949.000000000000000,1975.000000000000000,396525.000000000000000,2100.000000000000000,Photogramm,{5BD9ABDE-091B-4650-874C-D8067105EF22},55.000000000000000,30.270000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5003560500, ,10388.757919600000605,0.000000000000000,5009949,8400.000000000000000,1114.321469259999958,870,119.712000000000003
7366,5061450300,5079747.000000000000000,1984.000000000000000,567486.000000000000000,2100.000000000000000,Photogramm,{AA3C355A-7945-4A9A-81FB-CB350A105D0E},113.000000000000000,18.430000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5061450300, ,38313.032390000000305,0.000000000000000,5079747,33700.000000000000000,1189.514123930000096,3724,512.422400000000039
7370,5010520035,5024918.000000000000000,1955.000000000000000,617016.000000000000000,2100.000000000000000,Photogramm,{86F1838D-DCFA-4A8A-AAC2-D00638A87D5E},24.000000000000000,22.640000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5010520035, ,13551.648777500000506,0.000000000000000,5024918,12000.000000000000000,1184.008252459999994,1320,181.632000000000005
7398,5000010068,5131766.000000000000000,1970.000000000000000,299154.000000000000000,2100.000000000000000,Photogramm,{AA00B5FF-7220-4D68-AD26-A53EE9989CAD},12.000000000000000,28.157798690000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5000010068, ,56192.867734999999811,0.000000000000000,5131766,50800.000000000000000,1196.841181239999969,5648,777.164800000000014
7424,5011550071,5151366.000000000000000,2002.000000000000000,981873.000000000000000,2100.000000000000000,Photogramm,{6FC81918-B51C-4DCC-826F-DCE427B0C075},32.000000000000000,21.440000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5011550071, ,10178.509315600000264,0.000000000000000,5151366,9400.000000000000000,1182.963956139999937,1033,142.140800000000013
7478,5024500226,5119939.000000000000000,1985.000000000000000,867953.000000000000000,2100.000000000000000,Other (Man,{C4774F5F-EC49-4CD5-A781-CB428136F52E},66.000000000000000,54.000000000000000,8/22/2017 0:00:00,00:00:00.000,Constructed,5024507515, ,11971.848223200000575,0.000000000000000,5119939,6800.000000000000000,1119.085740029999897,707,97.283199999999994
7555,5028480050,5042714.000000000000000,1989.000000000000000,612997.000000000000000,2100.000000000000000,Photogramm,{F5DA4E59-6E7D-4BB7-8645-7F50C806F0E1},33.000000000000000,28.210000000000001,8/22/2017 0:00:00,00:00:00.000,Constructed,5028480050, ,8293.995267349999267,0.000000000000000,5042714,6100.000000000000000,1172.436253280000074,664,91.366399999999999
